[08-Dec-2020 19:54:18 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 212
[08-Dec-2020 19:54:18 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 213
[08-Dec-2020 19:54:18 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 214
[08-Dec-2020 19:54:18 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 215
[08-Dec-2020 19:54:18 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 217
[08-Dec-2020 19:54:18 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 218
[08-Dec-2020 19:54:44 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 211
[08-Dec-2020 19:54:44 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 212
[08-Dec-2020 19:54:44 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 213
[08-Dec-2020 19:54:44 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 214
[08-Dec-2020 19:54:44 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 215
[08-Dec-2020 19:54:44 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 217
[08-Dec-2020 19:54:44 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 218
[08-Dec-2020 19:55:26 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 211
[08-Dec-2020 19:55:26 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 212
[08-Dec-2020 19:55:26 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 213
[08-Dec-2020 19:55:26 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 214
[08-Dec-2020 19:55:26 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 215
[08-Dec-2020 19:55:26 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 217
[08-Dec-2020 19:55:26 UTC] PHP Notice:  Trying to access array offset on value of type null in C:\www\Assignment5\includes\functions-inc.php on line 218
